pharmacy_system_patient_id,last_name,first_name,MI_name,DOB,sex,phone_primary,phone_secondary,phone_tertiary,email,drivers_license,drivers_license_issuing_state,ssn,deceased,species,date_created,date_updated,date_deceased,animal_owner_name,weight,date_weight_recorded,is_clinic,identifier,line_1,line_2,line_3,city,state,postal_code
1,Williams,Jessica,B,1990-12-18,Female,2089349659,2021312113,5429348605,brucemichael@example.net,Rxj4951,WV,802-65-5234,No,Human,2022-09-19,2023-06-12,,,93,2022-12-23,0,8826d54b-fbe5-4ff7-9489-05336a72911b,898 Miller Shores,Apt. 829,,Lake David,AR,50386
2,Stewart,James,A,1964-07-10,Female,9371998195,9742835081,2310750432,powellbrianna@example.net,FCO7240,UT,379-03-8486,No,Human,2023-01-06,2023-04-26,2023-01-04,,66,2023-05-22,1,85eaaed9-20a7-4191-8f12-f943c18a4ae8,94124 Lee Spurs Suite 788,,,Warrenport,AZ,48824
3,Watson,Kimberly,A,1982-08-07,Male,1368698208,8166016854,2834954727,moralesalicia@example.org,utk6551,FL,592-98-9238,No,Human,2020-11-18,2023-04-15,,,234,2023-05-28,0,3c56ec0b-6dc3-432c-af17-35ab08df0905,255 Vaughn Camp,,,North Richard,SC,72036
4,Rodriguez,Lance,C,1945-02-27,Male,6140095332,9274137565,1158828758,fharris@example.com,Nnm7586,WA,738-79-6962,Yes,Human,2020-01-10,2023-09-03,,,83,2023-08-05,0,5c8d5425-1c75-463e-a373-c1d73ca6eb9e,241 William Road,,,Katiefurt,TX,69313
5,Stevens,Ryan,H,1958-06-12,Male,3860533657,4203979569,5466071753,parkerelizabeth@example.net,beg8220,AL,071-65-7248,No,Human,2023-07-07,2024-01-11,,,229,2023-04-17,0,db1f18c0-ab70-4c34-a167-43642c91cec5,76625 Shane Field Suite 062,Apt. 238,,East Shane,MD,78020
6,Franklin,Sara,D,1980-11-03,Male,2265998062,1027350799,3659872764,reedcorey@example.net,YDt8840,UT,460-63-5244,Yes,Human,2019-05-22,2023-09-24,,,211,2022-10-21,0,edd23921-10de-4337-b8de-e85a8052d433,897 Nathaniel Villages,,,Lake Timothy,AL,52801
7,Johnson,Michele,J,1949-05-11,Female,9878063295,9341406801,1721737447,jacqueline89@example.com,UyU3700,AZ,148-35-9007,Yes,Human,2023-11-24,2023-10-04,2021-02-03,,60,2023-08-25,0,e5633c4b-97e5-4ed0-b0fe-068b234058ab,984 Collins Shore,,,Andrewchester,NH,34801
8,Baker,Zachary,L,2003-07-18,Female,3579854797,6926816701,8113081739,ricetaylor@example.net,mqJ8931,ID,370-01-6668,No,Human,2020-04-04,2024-02-20,,,182,2023-10-13,1,034dc412-f2be-497b-a876-dd96d22e2b84,9190 Johnson Summit Suite 844,Apt. 158,,South Garyside,MS,14434
9,Smith,Kimberly,J,2010-07-28,Male,2080309111,2564551925,9942267876,lfowler@example.org,vmG9751,FM,615-69-9386,No,Human,2024-01-28,2023-08-13,,,79,2023-03-07,1,92487b57-ef6b-4400-bda2-7a9e03fd44b9,9246 Zimmerman Mill Apt. 924,Apt. 835,,Ashleyside,PR,11774
10,Porter,Steven,M,1974-02-21,Male,9151577608,6272098709,8826175471,sarah61@example.com,HaR4604,MN,323-98-1676,No,Human,2022-10-30,2023-09-23,2019-09-15,,225,2023-09-25,1,88edd1a0-50a4-45da-b692-85a4e02004c7,8940 Lynch Gateway,Suite 426,,Lake Angela,AZ,67325
11,Johns,Stephen,P,1972-05-31,Male,3961113326,5013415857,3157242538,melissaperez@example.com,rrX0848,NH,152-28-1976,No,Human,2023-06-23,2023-07-10,2021-04-09,,69,2022-05-28,0,18dde743-c887-4614-ac7b-fff64a782459,212 White Unions,Apt. 410,,Port Ericchester,KY,75835
12,Sharp,Matthew,J,1994-12-20,Male,8090199105,3964960061,3010618749,romerotracey@example.com,iSW0168,RI,542-60-8032,Yes,Human,2023-10-12,2023-05-28,2020-12-09,,216,2022-08-29,1,9d66d1b8-a97f-470d-8153-48a5c2f0ea8a,5914 Taylor Tunnel,Apt. 407,,Codyfort,VT,26076
13,Miller,Yolanda,S,2010-12-24,Male,8278286355,6405572846,5569745734,blankenshiptyler@example.net,Rgy5943,WA,442-84-1944,Yes,Human,2023-02-21,2024-02-13,,,173,2022-10-12,0,c86a240a-cc16-4f21-94a3-b30f8328af6a,281 Cheryl Causeway,,,Port Kristi,MH,35337
14,Paul,Karen,J,1950-01-23,Female,4653302496,2399617258,8441907621,sbond@example.org,hNx4070,CT,101-03-0772,No,Human,2021-01-17,2023-05-30,,,162,2022-05-01,1,040e0dfe-122d-46ff-8b9e-0b67c4c6917c,7427 Fox Bridge Suite 741,Apt. 678,,Port Sandra,KY,74861
15,Taylor,Deanna,C,1953-11-23,Male,5101517564,3565120244,5967614170,vyates@example.com,Wxt2722,AS,549-14-4857,Yes,Human,2021-03-05,2024-01-23,,,245,2023-10-17,0,7508c9ba-f463-4558-80c1-32bd7598ef4f,61670 Campbell Lakes,Suite 162,,Johnville,CO,32123
16,Adams,Robert,N,1970-02-09,Female,6891355293,4743162457,1522621024,tcohen@example.net,rah1869,NY,757-73-8912,Yes,Human,2023-09-18,2023-12-22,2024-02-01,,187,2022-09-30,0,c85be952-cbe5-429b-bbd1-a2c427648dba,68262 Hill Parkways,Suite 325,,Port Briannaburgh,WA,01384
